id;categoria;extra_1;extra_2;extra_3;extra_4;extra_5;extra_6;extra_7;extra_8;extra_9;extra_10
1;Canadian;back-end Account Teclado;Senior impactful;Genérico;evolve Pizza exploit;program;Metal Ladrillo;Realineado Central Morado;Bedfordshire;Afganistán Account utilize;Gris port
2;Violeta Pizza;interfaces;rich Patatas;Artesanal e-enable;Card por Escalinata;Corporativo Account Respuesta;feed Director;deploy;Investment circuit Intranet;Rústico sexy contingencia;Relacciones Planificador
3;dedicada Pollo;USB Rufiyaa;Salchichas engage;Coche;vertical;Arquitecto matrix;Pollo Nacional Métricas;implement input;benchmark protocol Multi;utilize wireless;amplio Senior
4;Buckinghamshire systems;Agente Ensalada;mission-critical Hormigon;necesidades;Glorieta Juguetería;Berkshire hacking deposit;Baleares;Colegio input Jefe;Hormigon Checking;Marketing Aldea;XSS
5;program Metal Ferrocarril;Kina extend Gris;Pre-emptivo Increible Centralizado;networks;reboot;Kwacha;copy Representante;Infraestructura;transform Andalucía;Relacciones;Auto deposit
6;Director index bandwidth;invoice Morado;Visionario Total array;Mancha Enfocado SQL;mobile;contenido;Supervisor invoice;Ergonómico back-end Rústico;Diseñador;Granito;compress
7;Agente protocolo;Algodón Refinado;Polígono base;optical Madera;aggregate Queso;Tácticas virtual partnerships;Sorprendente Calleja;Account;withdrawal Asimilado e-tailers;Money Negro;Amarillo Aragón
8;heurística;up Avon Buckinghamshire;Integrado Compatible;Marca Iran Algodón;drive Seguro;Canarias payment;Atún transmitting iterate;Violeta RAM;herramientas;estrategia circuit Cuentas;cultivate cultivate
9;RAM;Heredado;Algodón Guantes Dinar;JBOD port;online;Pescado dedicada convergence;Director;deploy;soporte Baleares Ingeniero;Operativo Buckinghamshire;Monitorizado
10;Música Salud Acero;Cambridgeshire;Negro Relacciones Verde;Nacional Pelota withdrawal;Dalasi;Account Oficial;Investigación;Loan;HDD;magnetic;SAS tolerancia
