id;comentarios;vistas;rating;extra_1;extra_2;extra_3;extra_4;extra_5;extra_6;extra_7;extra_8;extra_9;extra_10
1;61189;1399;11543;Global deposit JBOD;bus;Hormigon Grupo;Moda auxiliary;Supervisor Guapo;asíncrona;utilización Virtual virtual;Decoración Amarillo dynamic;Identidad;Account payment
2;8243;39779;87792;Loan Videojuegos;mobile;Fuerte ábanico Joyería;Account Baleares Granito;Cambridgeshire;Granito Haiti invoice;drive Plástico Ejecutivo;Configurable asimétrica;Credit compressing;Peso Ingeniero Angola
3;11611;30062;92591;Negro Intranet Asistente;programming;primary parse;Rua;Money Contabilidad Bedfordshire;de;Urbanización;Gris rich;Buckinghamshire Grupo;Oficial Adelante
4;23056;38373;28930;Borders Krona Papelería;convergence;Turkish Configuración Increible;matrix Descentralizado Nacional;GB;Bedfordshire convergence Plástico;transmit reboot mindshare;channels;Extramuros web;interface Central
5;66591;71353;77049;e-services bandwidth;Bicicleta;asimétrica;Afghani Bicicleta;Toallas extensible Zloty;Informática;Seguro Toallas;Plaza PCI;soporte;copy FTP
6;35632;74033;98148;cross-media RAM;Inverso Cataluña;open-source;Asistente Urbanización;eyeballs array;Adelante Digitalizado;Denar;defectos;neutral;Asociado
7;81064;39046;26306;Intuitivo Madera connecting;Reducido Baht monetize;Plástico GB;Chalet end-to-end Cine;mediante Berkshire;integrate Ladrillo;Productor Nacional Pescado;markets;synthesizing Blanco;Sorprendente deposit
8;7749;47328;2929;empresa Poblado;Zapatos;Guapo Pasaje;superestructura;THX Zapatos;intranet Avon;visualize;Amarillo circuit;visionary Raton;Rioja Gris Hormigon
9;45660;39969;69475;Ordenador Algodón circuit;Morado;Planificador Práctico payment;Consultor proactive Guam;fidelidad Berkshire;moderador calculating THX;Zapatos;Operativo whiteboard Savings;Grupo Morado global;of payment de
10;71681;30654;81429;viral;Algodón;Verde;Cambridgeshire online;Atún pixel Money;Inversor;de Administrador;Buckinghamshire;Monte;Pelota Savings
